Peak memory for plain cip(96, 5): 24.39
h1 = 0, h2 = 2, peak: 23.64, peak_layer = 4, extra runtime 0.60 * T0
h1 = 0, h2 = 3, peak: 23.32, peak_layer = 1, extra runtime 1.20 * T0
h1 = 0, h2 = 4, peak: 23.32, peak_layer = 1, extra runtime 2.00 * T0
h1 = 1, h2 = 2, peak: 23.64, peak_layer = 4, extra runtime 1.80 * T0
h1 = 1, h2 = 3, peak: 23.04, peak_layer = 4, extra runtime 2.80 * T0
h1 = 1, h2 = 4, peak: 23.00, peak_layer = 2, extra runtime 4.00 * T0
h1 = 2, h2 = 3, peak: 23.09, peak_layer = 2, extra runtime 4.60 * T0
h1 = 2, h2 = 4, peak: 23.09, peak_layer = 2, extra runtime 6.60 * T0
Peak memory for plain cip(128, 7): 24.88
h1 = 0, h2 = 3, peak: 24.07, peak_layer = 6, extra runtime 0.86 * T0
h1 = 0, h2 = 4, peak: 23.81, peak_layer = 1, extra runtime 1.43 * T0
h1 = 0, h2 = 5, peak: 23.81, peak_layer = 1, extra runtime 2.14 * T0
h1 = 0, h2 = 6, peak: 23.81, peak_layer = 1, extra runtime 3.00 * T0
h1 = 1, h2 = 3, peak: 24.07, peak_layer = 6, extra runtime 2.00 * T0
h1 = 1, h2 = 4, peak: 23.64, peak_layer = 6, extra runtime 2.86 * T0
h1 = 1, h2 = 5, peak: 23.58, peak_layer = 2, extra runtime 3.86 * T0
h1 = 1, h2 = 6, peak: 23.58, peak_layer = 2, extra runtime 5.00 * T0
h1 = 2, h2 = 3, peak: 24.07, peak_layer = 6, extra runtime 3.29 * T0
h1 = 2, h2 = 4, peak: 23.64, peak_layer = 6, extra runtime 4.71 * T0
h1 = 2, h2 = 5, peak: 23.32, peak_layer = 3, extra runtime 6.29 * T0
h1 = 2, h2 = 6, peak: 23.32, peak_layer = 3, extra runtime 8.00 * T0
Peak memory for plain cip(160, 9): 25.25
h1 = 0, h2 = 4, peak: 24.39, peak_layer = 8, extra runtime 1.11 * T0
h1 = 0, h2 = 5, peak: 24.17, peak_layer = 1, extra runtime 1.67 * T0
h1 = 0, h2 = 6, peak: 24.17, peak_layer = 1, extra runtime 2.33 * T0
h1 = 0, h2 = 7, peak: 24.17, peak_layer = 1, extra runtime 3.11 * T0
h1 = 0, h2 = 8, peak: 24.17, peak_layer = 1, extra runtime 4.00 * T0
h1 = 1, h2 = 4, peak: 24.39, peak_layer = 8, extra runtime 2.22 * T0
h1 = 1, h2 = 5, peak: 24.07, peak_layer = 8, extra runtime 3.00 * T0
h1 = 1, h2 = 6, peak: 24.00, peak_layer = 2, extra runtime 3.89 * T0
h1 = 1, h2 = 7, peak: 24.00, peak_layer = 2, extra runtime 4.89 * T0
h1 = 1, h2 = 8, peak: 24.00, peak_layer = 2, extra runtime 6.00 * T0
h1 = 2, h2 = 4, peak: 24.39, peak_layer = 8, extra runtime 3.67 * T0
h1 = 2, h2 = 5, peak: 24.07, peak_layer = 8, extra runtime 4.89 * T0
h1 = 2, h2 = 6, peak: 23.81, peak_layer = 3, extra runtime 6.22 * T0
h1 = 2, h2 = 7, peak: 23.81, peak_layer = 3, extra runtime 7.67 * T0
h1 = 2, h2 = 8, peak: 23.81, peak_layer = 3, extra runtime 9.22 * T0
Peak memory for plain cip(96, 3): 32.21
h1 = 0, h2 = 1, peak: 31.61, peak_layer = 2, extra runtime 0.33 * T0
h1 = 0, h2 = 2, peak: 31.17, peak_layer = 1, extra runtime 1.00 * T0
h1 = 1, h2 = 2, peak: 30.64, peak_layer = 1, extra runtime 3.00 * T0
Peak memory for plain cip(144, 5): 32.95
h1 = 0, h2 = 2, peak: 32.21, peak_layer = 4, extra runtime 0.60 * T0
h1 = 0, h2 = 3, peak: 31.91, peak_layer = 1, extra runtime 1.20 * T0
h1 = 0, h2 = 4, peak: 31.91, peak_layer = 1, extra runtime 2.00 * T0
h1 = 1, h2 = 2, peak: 32.21, peak_layer = 4, extra runtime 1.80 * T0
h1 = 1, h2 = 3, peak: 31.61, peak_layer = 4, extra runtime 2.80 * T0
h1 = 1, h2 = 4, peak: 31.58, peak_layer = 2, extra runtime 4.00 * T0
h1 = 2, h2 = 3, peak: 31.64, peak_layer = 2, extra runtime 4.60 * T0
h1 = 2, h2 = 4, peak: 31.64, peak_layer = 2, extra runtime 6.60 * T0
Peak memory for plain cip(150, 5): 34.01
h1 = 0, h2 = 2, peak: 33.27, peak_layer = 4, extra runtime 0.60 * T0
h1 = 0, h2 = 3, peak: 32.97, peak_layer = 1, extra runtime 1.20 * T0
h1 = 0, h2 = 4, peak: 32.97, peak_layer = 1, extra runtime 2.00 * T0
h1 = 1, h2 = 2, peak: 33.27, peak_layer = 4, extra runtime 1.80 * T0
h1 = 1, h2 = 3, peak: 32.67, peak_layer = 4, extra runtime 2.80 * T0
h1 = 1, h2 = 4, peak: 32.64, peak_layer = 2, extra runtime 4.00 * T0
h1 = 2, h2 = 3, peak: 32.70, peak_layer = 2, extra runtime 4.60 * T0
h1 = 2, h2 = 4, peak: 32.70, peak_layer = 2, extra runtime 6.60 * T0
Peak memory for plain cip(192, 7): 33.44
h1 = 0, h2 = 3, peak: 32.63, peak_layer = 6, extra runtime 0.86 * T0
h1 = 0, h2 = 4, peak: 32.39, peak_layer = 1, extra runtime 1.43 * T0
h1 = 0, h2 = 5, peak: 32.39, peak_layer = 1, extra runtime 2.14 * T0
h1 = 0, h2 = 6, peak: 32.39, peak_layer = 1, extra runtime 3.00 * T0
h1 = 1, h2 = 3, peak: 32.63, peak_layer = 6, extra runtime 2.00 * T0
h1 = 1, h2 = 4, peak: 32.21, peak_layer = 6, extra runtime 2.86 * T0
h1 = 1, h2 = 5, peak: 32.17, peak_layer = 2, extra runtime 3.86 * T0
h1 = 1, h2 = 6, peak: 32.17, peak_layer = 2, extra runtime 5.00 * T0
h1 = 2, h2 = 3, peak: 32.63, peak_layer = 6, extra runtime 3.29 * T0
h1 = 2, h2 = 4, peak: 32.21, peak_layer = 6, extra runtime 4.71 * T0
h1 = 2, h2 = 5, peak: 31.91, peak_layer = 3, extra runtime 6.29 * T0
h1 = 2, h2 = 6, peak: 31.91, peak_layer = 3, extra runtime 8.00 * T0
Peak memory for plain cip(240, 9): 33.81
h1 = 0, h2 = 4, peak: 32.95, peak_layer = 8, extra runtime 1.11 * T0
h1 = 0, h2 = 5, peak: 32.75, peak_layer = 1, extra runtime 1.67 * T0
h1 = 0, h2 = 6, peak: 32.75, peak_layer = 1, extra runtime 2.33 * T0
h1 = 0, h2 = 7, peak: 32.75, peak_layer = 1, extra runtime 3.11 * T0
h1 = 0, h2 = 8, peak: 32.75, peak_layer = 1, extra runtime 4.00 * T0
h1 = 1, h2 = 4, peak: 32.95, peak_layer = 8, extra runtime 2.22 * T0
h1 = 1, h2 = 5, peak: 32.63, peak_layer = 8, extra runtime 3.00 * T0
h1 = 1, h2 = 6, peak: 32.58, peak_layer = 2, extra runtime 3.89 * T0
h1 = 1, h2 = 7, peak: 32.58, peak_layer = 2, extra runtime 4.89 * T0
h1 = 1, h2 = 8, peak: 32.58, peak_layer = 2, extra runtime 6.00 * T0
h1 = 2, h2 = 4, peak: 32.95, peak_layer = 8, extra runtime 3.67 * T0
h1 = 2, h2 = 5, peak: 32.63, peak_layer = 8, extra runtime 4.89 * T0
h1 = 2, h2 = 6, peak: 32.39, peak_layer = 3, extra runtime 6.22 * T0
h1 = 2, h2 = 7, peak: 32.39, peak_layer = 3, extra runtime 7.67 * T0
h1 = 2, h2 = 8, peak: 32.39, peak_layer = 3, extra runtime 9.22 * T0
Peak memory for plain cip(96, 2): 40.02
h1 = 0, h2 = 1, peak: 39.00, peak_layer = 1, extra runtime 0.50 * T0
Peak memory for plain cip(288, 8): 42.04
h1 = 0, h2 = 4, peak: 41.03, peak_layer = 7, extra runtime 1.25 * T0
h1 = 0, h2 = 5, peak: 41.00, peak_layer = 1, extra runtime 1.88 * T0
h1 = 0, h2 = 6, peak: 41.00, peak_layer = 1, extra runtime 2.62 * T0
h1 = 0, h2 = 7, peak: 41.00, peak_layer = 1, extra runtime 3.50 * T0
h1 = 1, h2 = 4, peak: 41.03, peak_layer = 7, extra runtime 2.50 * T0
h1 = 1, h2 = 5, peak: 40.81, peak_layer = 2, extra runtime 3.38 * T0
h1 = 1, h2 = 6, peak: 40.81, peak_layer = 2, extra runtime 4.38 * T0
h1 = 1, h2 = 7, peak: 40.81, peak_layer = 2, extra runtime 5.50 * T0
h1 = 2, h2 = 4, peak: 41.03, peak_layer = 7, extra runtime 4.12 * T0
h1 = 2, h2 = 5, peak: 40.61, peak_layer = 7, extra runtime 5.50 * T0
h1 = 2, h2 = 6, peak: 40.58, peak_layer = 3, extra runtime 7.00 * T0
h1 = 2, h2 = 7, peak: 40.58, peak_layer = 3, extra runtime 8.62 * T0
Peak memory for plain cip(200, 9): 29.55
h1 = 0, h2 = 4, peak: 28.70, peak_layer = 8, extra runtime 1.11 * T0
h1 = 0, h2 = 5, peak: 28.49, peak_layer = 1, extra runtime 1.67 * T0
h1 = 0, h2 = 6, peak: 28.49, peak_layer = 1, extra runtime 2.33 * T0
h1 = 0, h2 = 7, peak: 28.49, peak_layer = 1, extra runtime 3.11 * T0
h1 = 0, h2 = 8, peak: 28.49, peak_layer = 1, extra runtime 4.00 * T0
h1 = 1, h2 = 4, peak: 28.70, peak_layer = 8, extra runtime 2.22 * T0
h1 = 1, h2 = 5, peak: 28.38, peak_layer = 8, extra runtime 3.00 * T0
h1 = 1, h2 = 6, peak: 28.32, peak_layer = 2, extra runtime 3.89 * T0
h1 = 1, h2 = 7, peak: 28.32, peak_layer = 2, extra runtime 4.89 * T0
h1 = 1, h2 = 8, peak: 28.32, peak_layer = 2, extra runtime 6.00 * T0
h1 = 2, h2 = 4, peak: 28.70, peak_layer = 8, extra runtime 3.67 * T0
h1 = 2, h2 = 5, peak: 28.38, peak_layer = 8, extra runtime 4.89 * T0
h1 = 2, h2 = 6, peak: 28.13, peak_layer = 3, extra runtime 6.22 * T0
h1 = 2, h2 = 7, peak: 28.13, peak_layer = 3, extra runtime 7.67 * T0
h1 = 2, h2 = 8, peak: 28.13, peak_layer = 3, extra runtime 9.22 * T0
